"comuna","region_id"
"Alto Hospicio",2
"Iquique",2
"Camiña",2
"Colchane",2
"Huara",2
"Pozo Almonte",2
"Nogales",6
"Quilpue",6
"Valparaiso",6
"Algarrobo",6
"Calera",6
"Casablanca",6
"Concon",6
"La Cruz",6
"Llaillay",6
"Los Andes",6
"Puchuncavi",6
"Quintero",6
"Rinconada",6
"San Felipe",6
"Villa Alemana",6
"Viña Del Mar",6
"Cartagena",6
"Quillota",6
"San Esteban",6
"Cabildo",6
"La Ligua",6
"San Antonio",6
"Zapallar",6
"Calle Larga",6
"El Quisco",6
"Limache",6
"Olmue",6
"",17
"Aysen",15
"Cisnes",15
"Cochrane",15
"Coyhaique",15
"Lago Verde",15
"Rio Ibañez",15
"Chile Chico",15
"Maipu",7
"Maria Pinto",7
"Melipilla",7
"Padre Hurtado",7
"Paine",7
"Pedro Aguirre Cerda",7
"Peñaflor",7
"Peñalolen",7
"Providencia",7
"Pudahuel",7
"Puente Alto",7
"Quilicura",7
"Quinta Normal",7
"Recoleta",7
"Renca",7
"San Bernardo",7
"San Joaquin",7
"San Miguel",7
"San Pedro",7
"San Ramon",7
"Santiago",7
"Talagante",7
"Vitacura",7
"O'Higgins",15
"Guaitecas",15
"Arica",1
"Camarones",1
"General Lagos",1
"Lampa",7
"Colina",7
"Conchali",7
"Talcahuano",11
"Concepcion",11
"Lota",11
"Coronel",11
"Cabrero",11
"Chiguayante",11
"San Pedro De La Paz",11
"Talca",9
"Rengo",8
"San Clemente",9
"Pelarco",9
"Constitucion",9
"Molina",9
"La Granja",7
"Curacavi",7
"La Pintana",7
"Sagrada Familia",9
"Isla De Maipo",7
"La Reina",7
"Lo Barnechea",7
"Ñuñoa",7
"El Carmen",10
"Curanilahue",11
"Quilleco",11
"Hijuelas",6
"Antofagasta",3
"Calama",3
"Tocopilla",3
"Maria Elena",3
"Sierra Gorda",3
"Los Alamos",11
"Chillan",10
"Hualpen",11
"Temuco",12
"Teodoro Schmidt",12
"Freire",12
"Villarrica",12
"Pitrufquen",12
"Linares",9
"Maule",9
"San Javier",9
"Colbun",9
"Retiro",9
"Curico",9
"Cauquenes",9
"La Florida",7
"El Bosque",7
"El Monte",7
"Estacion Central",7
"Independencia",7
"Calera De Tango",7
"Huechuraba",7
"La Cisterna",7
"Las Condes",7
"Macul",7
"San Jose De Maipo",7
"Cerrillos",7
"Parral",9
"Villa Alegre",9
"Yerbas Buenas",9
"Empedrado",9
"Curepto",9
"San Rafael",9
"Chanco",9
"Vichuquen",9
"Rio Claro",9
"Lo Espejo",7
"Buin",7
"Cerro Navia",7
"Lo Prado",7
"Pirque",7
"Putre",1
"Mejillones",3
"Taltal",3
"San Pedro De Atacama",3
"Copiapo",4
"Chañaral",4
"Diego De Almagro",4
"Vallenar",4
"Tierra Amarilla",4
"Huasco",4
"Caldera",4
"Canela",5
"Coquimbo",5
"La Serena",5
"Monte Patria",5
"Ovalle",5
"Vicuña",5
"Illapel",5
"Combarbala",5
"La Higuera",5
"Punitaqui",5
"Los Vilos",5
"Salamanca",5
"Carahue",12
"Collipulli",12
"Curacautin",12
"Padre Las Casas",12
"Saavedra",12
"Cholchol",12
"Angol",12
"Gorbea",12
"Pucon",12
"Lautaro",12
"Los Sauces",12
"Lumaco",12
"Renaico",12
"Traiguen",12
"Victoria",12
"Cunco",12
"Nueva Imperial",12
"Loncoche",12
"Osorno",14
"Puerto Montt",14
"Ancud",14
"Cochamo",14
"Puyehue",14
"Rio Negro",14
"Llanquihue",14
"Castro",14
"Chonchi",14
"Calbuco",14
"Futaleufu",14
"Hualaihue",14
"San Pablo",14
"Fresia",14
"Los Muermos",14
"Puerto Varas",14
"Frutillar",14
"Ollague",3
"Alto Del Carmen",4
"Freirina",4
"Santa Maria",6
"Santo Domingo",6
"Petorca",6
"Putaendo",6
"El Tabo",6
"Catemu",6
"Papudo",6
"Bulnes",10
"Chillan Viejo",10
"Coihueco",10
"Pemuco",10
"Pinto",10
"Quirihue",10
"San Carlos",10
"San Nicolas",10
"Ñiquen",10
"San Ignacio",10
"Coelemu",10
"Los Angeles",11
"Santa Juana",11
"Tome",11
"Mulchen",11
"Arauco",11
"Lebu",11
"Penco",11
"Cañete",11
"Contulmo",11
"Laja",11
"Nacimiento",11
"Negrete",11
"San Rosendo",11
"San Vicente",8
"Nancagua",8
"Melipeuco",12
"Hualqui",11
"Tirua",11
"Rauco",9
"Teno",9
"San Fernando",8
"Chimbarongo",8
"Ranquil",10
"Rio Hurtado",5
"Vilcun",12
"Coltauco",8
"Rancagua",8
"Doñihue",8
"San Juan De La Costa",14
"Paiguano",5
"Valdivia",13
"Tiltil",7
"Puerto Octay",14
"La Union",13
"Mariquina",13
"Paillaco",13
"Lanco",13
"Corral",13
"Los Lagos",13
"Rio Bueno",13
"Futrono",13
"Panguipulli",13
"Lago Ranco",13
"Punta Arenas",16
"Porvenir",16
"Rio Verde",16
"Natales",16
"Laguna Blanca",16
"Quillon",10
"Yungay",10
"Florida",11
"Tucapel",11
"Yumbel",11
"Mostazal",8
"Quinta De Tilcoco",8
"La Estrella",8
"Navidad",8
