"partido","sigla_partido"
"EVOLUCION POLITICA","EVOPOLI"
"IGUALDAD","IGUALDAD"
"NUEVO TIEMPO","NT"
"PARTIDO DE LA GENTE","PDG"
"PARTIDO PROGRESISTA DE CHILE","PRO"
"RENOVACION NACIONAL","RN"
"REVOLUCION DEMOCRATICA","RD"
"SOCIALISTA DE CHILE","PS"
"COMUNES","COMUNES"
"COMUNISTA DE CHILE","PCCH"
"CONVERGENCIA SOCIAL","CS"
"DEMOCRATA CRISTIANO","DC"
"HUMANISTA","PH"
"PARTIDO UNION PATRIOTICA","UPA"
"CIUDADANOS","CIUDADANOS"
"FEDERACION REGIONALISTA VERDE SOCIAL","FRVS"
"POR LA DEMOCRACIA","PPD"
"RADICAL DE CHILE","PRSD"
"REGIONALISTA INDEPENDIENTE DEMOCRATA","PRI"
"UNION DEMOCRATA INDEPENDIENTE","UDI"
"ECOLOGISTA VERDE","PEV"
"REPUBLICANO DE CHILE","PR"
"PARTIDO LIBERAL DE CHILE","PL"
"PARTIDO NACIONAL CIUDADANO","PNC"
"PARTIDO DE TRABAJADORES REVOLUCIONARIOS","PTR"
"PARTIDO CONSERVADOR CRISTIANO","PCC"
